section_title,character_name,actor_name,content
꽃뱀사기단 두목,김범준,박해수(아역:송건희),그냥 사건을 목격한 목격남처럼 처음에 등장하였지만 실상은 이 작품의 최종 보스로 처음부터 이유정과 한패였다. 이유정의 고등학교 선배로 고등학교 시절부터 이유정과 어울리며 온갖 불량한 일을 저질렀으며그 때문에 감옥까지 이미 갔다 왔다. 감옥에서 석방된 이후 이유정과 한패가 되어서 이유정이 꽃뱀짓을 하며 남자들의 돈을 뜯고 있었고 한의사인 한상훈 역시 그들의 목표 중 하나였다.
성심종합병원 신경외과 의사,이주연,신민아(아역:신도현),학창시절때 박재영 패거리에게 성폭행당한 끔찍한 과거가 있다.어느 날 박재영이라는 이름의 환자가 본인의 병원에 오게 되고 그 박재영이 본인의 끔찍한 인물 속 박재영임을 알게 되고 메스로 목을 찔러 죽이는 상상까지 한다. 그렇게 택시에서 박재영에게 사과를 요구하지만 본인을 전혀 알아보지 못한 박재영에게 큰 상처를 입는다.그렇게 무해기획한테까지 부탁해서 박재영을 죽이려 하지만 남자친구 정민에 의해 제지를 받는다. 그리고 남친인 윤정민에게 덕분에 마음이 편해졌다고 고마워하며 끝난다.주요 인물 6명 중에서 유일하게 범죄를 저지르지 않고 사망하지도 않아 행복한 결말을 맞이한 인물이다.
대광물류 직원,박재영,이희준(아역:배윤규),"학창시절부터 막장인생을 살아온 인물로 학창시절 때 본인을 필두로 이주연을 성폭행한 적이 있다. 그리고 나이가 들어서도 말 그대로 막장인생을 하며 거액의 사채빚까지 졌고[그러다 우연히 아버지의 생명보험 5억 증서를 발견하고 아버지를 사고로 위장해 죽이기로 결심한다.그렇게 길룡에게 부탁해 아버지를 죽이라고 사주하지만 아버지가 사고가 아니라 산에서 암매장되었다는 소식에 보험금을 받을 수도 없다는 불안감에 분노를 터뜨린다.
그리고 길룡에게 계속 금전 관련해서 협박을 당하자 결국 길룡을 죽이기로 결심하는데 타이머까지 맞춰가며 망치로 길룡을 죽이기로 결심하지만 오히려 본인이 당해버리고 신분세탁이 필요했던 김범준에 의해 산 채로 불에 타 처참하게 죽게 된다. 말 그대로 찌질하게 살다가 비참하게 죽은 인생이다."
대광물류 직원,장길룡,김성균,"연변에서 온 조선족으로 과거 화룡시 삼합회 두목.
박재영으로부터 자신의 아버지를 죽여달라는 의뢰를 받는다. 그리고 감방동료 김범준과 협업을 해일을 벌이지만 막판에는 김범준에게 허무하게 배신을 당하고 죽게 된다."
한의사,한상훈,이광수,"직업은 한의사. 이유정과는 불륜관계이다.
사실 이유정은 김범준과 한패이며 애초에 상훈에게 접근한 이유도 돈을 뜯기 위해서이다. 이유정이 김범준과 작당하여 육교에서 노인을 치는 사고가 벌어지고 음주운전으로 사람을 치어 죽게 만들었다고 생각한 그는 노인을 암매장 하게 되었다.
목격자에게 돈까지 쥐어주며 사건을 덮었지만 목격자는 가면 갈수록 계속 더 큰 돈을 요구하였고 그 때문에 스트레스를 엄청 받는다.그러다 카센터에서 수상함을 느꼈는데 사람을 쳤지만 보닛만 움푹 들어가고 앞 범퍼는 멀쩡했던 것. 카센터 직원이 고라니가 점프라도 했나라는 말을 듣자 무언가라도 깨달은 듯 이미 버린 블랙박스를 쓰레기장까지 뒤져가며 찾아내고 알고보니 목격남인 김범준이 이 일을 주도한 것이라는 것을 깨닫는다."
꽃뱀사기단 조직원,이유, 공승연 (아역: 최소윤),처음에는 그저 안경남인 한상훈이 남자를 차로 치어서 공범이 되어버린 불쌍한 인물처럼 보였지만 알고 보면 히든 보스이자 모든 사건의 주범이다. 사실 김범준과 계획해 일부러 한상훈이 사람을차로 치도록 운전하는 그의 시야를 가리며 애정행각을 벌인 것이다.고등학생 시절부터 그저 이주연에게 홍보 모델 자리를 빼앗긴게 화가 난다는 이유로 박재영 무리로 하여금 이주연을 강간하도록 시켰고 이주연의 삶을 불행으로 빠뜨린 주범이었다. 그리고 어른이 되어서는 김범준과 한편이 되어서 남자들의 돈을 뜯는 꽃뱀 역할을 하였다. 한상훈도 사실 그 대상 중 하나로 원래는 리조트에서 한상훈이 자고 있을 때 김범준이 그대로 덮쳐서 돈을 뜯는 것이 목표였지만 갑자기 계획이 변경되고 한상훈을 살인범으로 만들어버린다. 그런데 한상훈이 김범준의 실체를 알아채자 계획이 꼬여버리고 한상훈에게 본인의 정체를 드러낸다.
재영의 아버지,박동식,최홍일,재영의 아버지. 독실한 천주교 신자. 속 썩이는 아들 때문에 조용히 살며 성실하게 성당을 다닌다 이후 여러모로 막장인 아들 때문에 죽게 되어서 가장 불쌍한 인물이라고 할 수 있다. 
흥신소 대표,황철목,박호산,흥신소 무해기획의 대표로 경찰 출신. 4화에서 주연이 환자에게 시달릴 때 그 환자의 부상 부위를 압박하면서 첫 등장 한다. 그런 다음 주연을 보더니 얼굴에 수심이 가득해보인다며 의뢰할 일이 있으면 언제든 연락달라는 말과 함께 명함을 건네준다. 후배들의 비리를 혼자 뒤집어쓴 채 경찰을 그만 두었다고 한다.
상훈의 아내,상훈 부인,박보연,상훈의 아내. 박동식과 함께 가장 피해자라고 무방하다.
순경,백지훈,이서준,경기구회경찰서 기연파출소 순경. 길룡을 미행하다가 들켜 길룡에게 살해당한 후 암매장된다.
