순위,제목,아이디,종류,URL,장르,방영일,회차,채널,연령등급,제작국가,제작연도,줄거리,리뷰,배우,오리지널,개봉일,러닝타임,개봉예정일,원제,방영예정일
1,보물섬,139848,드라마,https://m.kinolights.com/title/139848,"스릴러, 미스터리, 서사/드라마",2025년 02월 21일,16부작,SBS,15세 이상 시청가,한국,2024년,살아남기 위해 2조 원의 정치 비자금 계좌를 해킹한 남자와 해킹당한 사실을 모르고 남자를 죽여 2조 원을 날려버린 비선실세의 이야기,"자극적이고 개연성이 떨어지고 남주여주들이 어색하고 연기가 딸림 조연들이 그나마 연기를 받쳐주는데 그닥 재밌지게 않음 | 그냥 새로운 스토리 보는 재미로 보고는 있다만.. 보면 볼 수록 괴리감들게 어울리지 않는 캐릭터 매칭과 유치하고 저급한 대사가 혀를 내두르게 한다. | 스토리의 좋고 나쁨을 떠나서 논란이 되는건 남주의 연기 아닌가? 정색하고 무뚝뚝한 연기는 있는 대사만 치는게 연기의 다가 아니지 않은가? 몸짓, 눈빛, 심지어 배경까지 아울러야지 | 허허허.. 참 당황스럽네요… 아니 그 내용이 당황스럽다구요^^… | 철 지난 스토리.. 허구라도 우리나라 총 구하기 참 쉽다 | 1회 중반부까지 살짝 지루했는데 볼수록 흥미진진하네요 | 초반에는 ‘로맨스만 없다면 어땠을까?, 어쩌면 좋을지도.’ 라고 생각했지만 흐름을 깨는 PPL과 이것저것 벌여놓은 것들 때문에 어찌할 줄 몰라 급마무리한 느낌이 든다. | 2화까지 본 평 - ost 너무 좋음. 우리 형식이 남자가 다 되었구나!!! | 너무 좋았어요, 함부로 말하지 마세요, 배우들 모두 너무 열심히 했어요. | 출연 배우 모두 연기좋어서 몰입도 장난아님!! 휘몰아치는 전개도 좋고 자칫 잘못하면 스토리가 막장일수있는데 배우들의 무게감있는 연기와 무엇보다 박형식의 쩌는 비주얼때문에 보고또봄","박형식, 허준호, 이해영, 홍화연, 우현, 김정난, 홍수현, 이유준, 권수현, 주연우, 도지원, 차우민, 윤상현, 하수호, 지호, 이항나",,,,,,
2,악연,128887,드라마,https://m.kinolights.com/title/128887,"스릴러, 미스터리, 서사/드라마, 범죄",2025년 04월 04일,6부작,넷플릭스,19세 이상 시청가,한국,2024년,벗어나고 싶어도 빠져나올 수 없는 악연으로 얽히고설킨 인물들의 이야기를 그린 범죄 스릴러,"업보에 시차는 있어도 오차는 없다. | 매듭을 풀어가는 드라마가 아니라 하나의 매듭으로 묶는 드라마다 | 특출마저 연기차력쇼하는 연기서커스 그 자체 | 구성은 촘촘한데, 기시감이 너무 많이 드는 작품 | 근래 본 드라마중에 제일 재미난다 집중도도 높고 | 와진짜 존나재밌습니다 고구마도 미친놈처럼 처맥이니까 사이다맛나네요 | 추리하면서 보는 재미가 있었다 | 자기 전에 1화보다가 지루해서 그냥 잘라했는데 새벽4시에 잤습니다. 얽히고 설킨.. 이게 참 세상이 너무 좁네요 그래서 착하게 살아야 한다니까요 | 꼬일대로 꼬여버린 여러 사람들의 인생과 감정. 그 끝은 다시 시작점으로 돌아왔다. | <악연 시사회> B열 사이드라 중간에 나가려했는데 6시간을 다 봤다","박해수, 신민아, 이희준, 김성균, 이광수, 공승연, 최홍일, 송건희, 신도현, 배윤규, 최소윤, 박호산, 신주환, 정예진, 박보연, 권다함",넷플릭스,,,,,
3,바니와 오빠들,137474,드라마,https://m.kinolights.com/title/137474,"코미디, 멜로/로맨스, 서사/드라마",2025년 04월 11일,12부작,MBC,15세 이상 시청가,한국,2024년,"흑역사로 남아버린 첫 연애 이후, 갑자기 다가온 매력적인 남자들과 엮이게 된 바니의 남친 찾기 로맨스 드라마",남미새 드라마. 얼빠들끼리의 로멘스. | 너무 뻔한 로맨스 드라마 재미없을 거 같다 그래서 안본다 그기고 버니는 왜이렇게 말랏니 남미새 같은 로맨스 드라마 별로,"노정의, 이채민, 조준영, 홍민기, 김현진, 이지훈, 최지수, 김민철, 남규희, 김재화, 왕빛나, 전소영, 채제니, 전준호, 이태희, 김현목",,,,,,
4,승부,102313,영화,https://m.kinolights.com/title/102313,"서사/드라마, 사극/시대물",,,,12세 이상 관람가,한국,2025년,세계 최고 바둑 대회에서 국내 최초 우승자가 된 조훈현. 전 국민적 영웅으로 대접받던 그는 바둑 신동이라 불리는 이창호를 제자로 맞는다. 제자와 한 지붕 아래에서 먹고 자며 가르친 지 수년. 모두가 스승의 뻔한 승리를 예상했던 첫 사제 대결에서 조훈현은 전 국민이 지켜...,"한국판 <퀸즈 갬빗>이라고 말해도 모자람이 없는 사제의 대결. | 지는 해와 뜨는 해를 가릴수 없는 명승부인건 맞는데 | 바둑을 잘 몰라도, 조훈현 이창호는 잘 아는 세대로서 재밌게 봤다. 이병헌, 유아인의 연기는 정말 훌륭하다. 이 영화를 극장에서 볼 수 있어서 감사하다. | ‘승부’라기엔 긴장감이 전혀 없다. | 재관람.. 첫 날 너무 피곤해서 놓친 부분이 많았는데 다시 봐도 너무 재밌다. 바둑이란 소재로 이렇게 흥미진진하게 만들기도 어려울 텐데 | 영화처럼 사제지간은 아니지만 이병헌을 압도하는 유아인의 연기 | 장점과 단점 모두 딱 한국 상업영화의 표본 같은... | 휘몰아 치는 연기 폭풍에도 고요했던 바둑판. ’승부‘라기 보단, 인생 드라마 | 명승부가 맞는 것 같은데 바둑을 모르는 나로서는 그들의 수읽기가 와닿지 않는다. | '제자를 더 단단하게 해주는 스승 노릇'은 조훈현의 몫이 아니었다","이병헌, 유아인, 고창석, 현봉식, 문정희, 김강훈, 전무송, 정우영, 조우진, 정석용",,2025년 03월 26일 개봉,114분,,,
5,폭싹 속았수다,120010,드라마,https://m.kinolights.com/title/120010,"멜로/로맨스, 서사/드라마, 사극/시대물",2025년 03월 07일,16부작,넷플릭스,12세 이상 시청가,한국,2025년,1950년대 제주에서 태어난 요망진 반항아 애순이와 팔불출 무쇠 관식이의 모험 가득한 일생을 사계절로 풀어낸 드라마,"마냥 슬프지만은 않은, 웃음과 따뜻함을 주는 드라마. 주조연, 심지어 잠깐 나오는 단역들의 연기까지 완벽하고 연출극본도 최고최고! | 시대물 좋아요 연기들도 좋고 아역 배우들 왜이리 연기 잘하는거지? | 오랜만에 마음에 드는 드라마 발견 | 시대 배경 연출 연기 모든게 다 완벽 눈물콧물 다흘리면서 봤어요 엄마얘기만 나와도 눈시울이 붉어지네요 정말 오랜만에 진짜 재밌는 드라마 보네요 끝까지 기대됩니다 | 4화까지의 내용과 특히 연출 부분이 너무 아름답다 | 아이유 박보검 배우님들 조합😻 | 몰입감이 대단하고 연기를 다 너무 잘해요 | 와 1화부터 보면서 눈물이 났습니다. 연출 각본 연기 모든게 다 갖춘 작품인 거 같아요ㅠㅜ 시대의 특징도 잘 보이고 웃음포인트 감동포인트 슬픈포인트를 다 느낀 작품이었습니다 | 작가 이름이 연출 위에 있다는 것이 인상적. 연출의 작가에 대한 존중, 존경이 느껴짐. 연출도 너무 좋습니다 -- 마무리까지 갓벽. 상춘이 누나 날 가져요 | 김원석과 아이유의 몸짓은 시리도록 아리고, 임상춘과 아이유의 목소리는 바스라질 듯 바삭거린다.","아이유, 박보검, 문소리, 박해준, 아이유, 최대훈, 나문희, 김용림, 이준영, 이수경, 백지원, 정이서, 이수미, 염혜란, 강정우, 오민애",넷플릭스,,,,,
6,협상의 기술,137475,드라마,https://m.kinolights.com/title/137475,서사/드라마,2025년 03월 08일,12부작,JTBC,15세 이상 시청가,한국,2024년,"M&A 시장의 숨막히는 심리전을 그린 오피스 드라마. 전설의 협상가 윤주노와 그의 팀원들이 펼치는 고도의 두뇌 싸움. 상대방의 마음을 읽고, 허를 찌르는 전략으로 위기에 빠진 기업을 구해내려 한다. 한 치의 실수도 용납되지 않는 비즈니스 세계에서, 그들은 과연 승리를 ...","음악감독 누구냐???? 개구려 | 진중하고 묵직함을 추구하는 드라마를 보며 트렌디 드라마의 특색이 없다고 불평하는 건, 국밥을 먹으면서 햄버거 맛이 안 난다고 투덜대는 꼴. 잘못 만든 걸까, 잘못 찾아온 걸까!? | 현재까지는 그냥 소소함 앞으로 어떻게 되느냐에 따라 흥망이 나올듯 | 올해의 베스트 드라마 | MnA할때 재밌던데요 | 1화가 중요한데 확 오는게 없음 넘 밋밋함 | 8화 마지막 성동일과 유리 전화scene에 bgm은 '불의 전차(1981)' 오마주 인가요? 그 scene에 그 bgm을 ㅡ0ㅡ;; | 재미가 없거나 못만들었다는 느낌은 아니고 오히려 영화적인 연출이 느껴져서 좋기도 하지만, 스토리 밀도가 높지 않은 드라마 장르의 특성상 피곤하고 늘어지는 것 처럼도 느껴짐 | 빌드업에 미친 드라마👍🏻 지나가는듯 보였던 과거의 협상 에피소드가 새로운 사건 해결에 도움을 주는 유기적인 설정들을 물 흐르듯 전개하는데 연기 연출 대본 3박자가 굉장하다🩷 | 멋은 잔뜩 부렸는데 매력이 없는","이제훈, 김대명, 양조아, 차강윤, 안현호, 성동일, 장현성, 오만석, 김종태, 최범호, 김학선, 정석용, 성여진, 전석찬, 이규성, 박형수",,,,,,
7,신병 시즌 3,139088,드라마,https://m.kinolights.com/title/139088,"코미디, 서사/드라마",2025년 04월 07일,16부작,"ENA, Genie TV, 티빙",15세 이상 시청가,한국,2025년,평화는 찰나였다! 예측 불허 ‘두 신병’의 폭격과 ‘그’의 귀환으로 긴장감이 감도는 신화부대. 진급을 앞둔 박민석 일병의 군 생활은 더욱 꼬여가는데... 예측 불허! 하이퍼 리얼리즘 코미디,"시사회 당첨돼서 미리 봤는데 정말 기대하셔도 좋을만큼 웃기고 재밌습니다!!👍👍 다음화가 기다려집니다~ | 역시 신병은 언제봐도 재미있음!! | 깔깔깔 웃게하는 지극한 신병3!! | 시사회로 본 신병3 1~2화! 상영관 안 사람들이 모두 깔깔 웃으며 봤다 시간가는 줄 모르고 봤는데 더 보고싶어서 아쉬웠다 | 시사회 갔다왔는데 너무 재밌었어요! | 요즘 왜이렇게 내 팔자주름을 지게만드는 드라마 영화들이 많은지,,,,,!! 신병3 또 볼게 생겼습니다!!! 기다려집니다 다음 이야기가 ㅠ ㅜ 어떻게 그렇게 끊으시나요!!!! | 우려한 바를 싹 씻은 최고의 속편입니다!! | 너무 웃어서 광대가 아픔 | 시즌3인데... 이렇게 재미있다니...? | 너무 웃기고 재밌었다!","김민호, 김동준, 남태우, 이상진, 조진세, 이충구, 전승훈, 이수지, 오대환, 김요한, 강효승, 장영준, 이정현, 김동준, 장성범, 노성은",Genie TV,,,,,
8,언젠가는 슬기로울 전공의생활,129013,드라마,https://m.kinolights.com/title/129013,서사/드라마,2025년 04월 12일,12부작,tvN,15세 이상 시청가,한국,2024년,대학병원 교수와 전공의들의 리얼한 병원생활과 우정 이야기를 그린 드라마,"개인적으로 고윤정을 보기위해 보려는 드라마. 메디컬 드라마는 사실 소재가 다 뻔해서 크게 기대가 되지는 않음. 중증외상센터처럼 판타지성이 있으면 그나마 차별점이라도 있겠지만 | 유명한 배우가 아니면 캐릭터의 매력을 위해서라도 촘촘한 빌드업이 필요하다. 극중 인턴 자기소개에서 스치듯 지나가는 걸로는 부족. 초반이지만 고윤정 제외 캐릭터의 매력이 너무 없다 | 빈 손짓에 슬퍼지면, 그렇게 세월은 가는 거야 | 슬기로운 전공의라면서 초반에 꿈 판타지로 나오건가영? 고윤정을 위한 드라마네 이거..하 참..머라해야할지 좀 더 볼께여..무슨 의사가 빚에 쪼들려서 일하기싫은데 하는 판타지라니","고윤정, 신시아, 강유석, 한예지, 정준원, 이봉련, 이창훈, 정순원, 손지윤, 이현균, 서이서, 정운선, 이도혜, 홍나현, 김혜인, 유현종",,,,,,
9,나 혼자 산다,87596,예능,https://m.kinolights.com/title/87596,리얼리티,2013년 03월 22일,,MBC,15세 이상 시청가,한국,2013년,"대한민국 1인 가구 453만 시대! 이제는 1인 가구가 대세!
연예계 역시 1/3은 1인 가구! 기러기 아빠, 주말부부, 상경 후 고군분투 중인 청년, 독신남 등 각기 다른 이유로 싱글족이 된 스타들! 당당한 1인 가구의 싱글 라이프는 과연 어떤 것일까?
1인 가구...","나 이만큼 산다 | 출연자에 따라 호불호가 강하게 갈리는 프로그램. 처음 기획의도와 맞는 출연진이라면 흥미롭다. | 옛날에는 재미가득, 웃음가득 지금은 논란가득, 가식가득... | 박나래씨의 활약을 좋아합니다. 솔직히 남자 패널들은 키씨, 코쿤씨 제외 그냥 그래요. 지저분하고 예의없는 사람의 일상이 궁금하진 않습니다. | 보여주기식으로 변해가서 본질을 흐리고 있지만 기안84, 김대호가 진정한 나혼산으로 살리고 있다 | 폼이 좀 오락가락하지만 여전히 재밌는 예능 | 금요일밤에 가볍게 보기 좋은 프로그램, | 최애 예능 | 누가 나오냐 따라서 호불호 있는 프로그램 | 4점에서 1점으로 바꾸고 박나래님 하차할 때 다시 평가하겠습니다.","박나래, 키, 김희민, 코드 쿤스트, 이주승, 김대호, 전현무, 경수진, 이장우, 서인국, 화사, 성훈, 헨리, 이시언, 한혜진, 손담비",,,,,,
10,야당,123772,영화,https://m.kinolights.com/title/123772,"액션, 서사/드라마, 범죄",,,,청소년 관람불가,한국,2024년,대한민국 마약판과 수사기관 사이를 오가며 마약 세계를 뒤흔드는 내부자 ‘야당’을 중심으로 펼쳐지는 이야기,"나 몇 번을 빠꾸하고 싶었는지 몰라 관식아 | 개꿀잼 | '대한민국 검사'가 대통령을 만들 수도 죽일 수도 있다는 대사만 또렷하게. | 높은 수위와 도파민 터지는 오락영화 | 중간중간 뻔히 보여 예상이 가는 장면은 있지만 가볍게 보기 좋다. | 재미는 있는데 생각보다 긴 러닝타임.(시사회 25.4.9) | 15세에 맞추려다 청불 판정나니 애매함만 남았다. | 내부자들의 이병헌, 야당의 강하늘. | 야당 리뷰（강하늘강부로기님 양도） | 정공법에 속도감까지 붙인 속 시원한 정의 구현","강하늘, 유해진, 박해준, 류경수, 채원빈, 우지현, 곽자형, 강지운, 김찬형, 유성주, 이서환, 김금순, 조완기",,,122분,2025년 04월 16일 개봉,,
